userName,score,at,content,sentiment
Raja Maniro,5,2026-05-06 12:18:54,di perbarui,Happy
Muhammad Iqbal,5,2026-05-06 12:15:17,Setelah di update knapa keluar lagi keluar lagi klo mau msuk app?,Fear
Nathanael,1,2026-05-06 12:15:10,"ini kenapa gabisa di pakai Instagram loading loading trus, seperti tida ada internet, tolong di perbaiki, saya sangat membutuhkan Instagram!!",Fear
Indri Syafitri,5,2026-05-06 12:08:47,menambah pengalaman dam bisa menghasilkan kan uang,Happy
hay tayo,5,2026-05-06 12:08:17,kerenn,Fear
juliaresti amanda,2,2026-05-06 12:07:51,"aku awalnya kasih bintang 5 yah, terus akhir² ini kok instagram nyeleneh, masa kuota ada sinyal bagus tpi muter² terus, aduh benerin dong pihak instagram, udah berapa hari loh kaya gini hampir seminggu aku ngalamin. Sampe aku uninstal apk nya loh",Anger
Ara Wiliam,5,2026-05-06 12:06:46,mantap,Happy
supriyadi supriyadi,5,2026-05-06 12:06:18,⭐⭐⭐⭐⭐,Anger
Afifah N Hidayah,4,2026-05-06 12:04:35,WOI IG INI KENAPA GA BISA SCREENSHOT?? AKU BUTUH INI,Anger
Eni Nur hayati,1,2026-05-06 12:02:21,ig aku mohon tolong MB nya di kecilin,Fear
Marahalim Lubis,5,2026-05-06 11:46:41,biasa,Sadness
putri hannyela,4,2026-05-06 11:42:01,"jangan hobi hilangin komentar di igs dong, muak bgt.",Anger
Khairunnisa Latansya,5,2026-05-06 11:41:35,baik sekali,Happy
dina Hanifa,5,2026-05-06 11:38:40,kenapa ngelag si pas lagi di update kesel banget jadi ngelag juga lagi semuanya,Sadness
Nabilla belhi hafifah,5,2026-05-06 11:16:46,baik,Happy
Arpi pi,5,2026-05-06 11:07:22,Semoga fyp terus Vt saya diaplikasi ini,Happy
Sulas Try,1,2026-05-06 11:03:46,gak bisa post story 😒,Sadness
Raynar,1,2026-05-06 10:54:03,Semakin sering update semakin bermasalah. Memory semakin cepat penuh namun kualitas tidak meningkat hanya memberikan efek berat di ponsel!,Sadness
ferry ferdinan,1,2026-05-06 10:51:21,kenapa kecepatan pemutaran di hilangkan???,Fear
Robi V. Indrowibowo,5,2026-05-06 10:38:02,Medsos ter Mantulll... Mantap Betulll... 👍👍,Love
Atikal Mbk atikal,1,2026-05-06 10:36:58,ko instagram saya ga bisa di instal,Fear
Holic P4n,5,2026-05-06 10:35:33,aplikasi yang sangat berguna bagi remaja jadi saya kasi bintang lima ⭐⭐⭐⭐⭐,Happy
Napi Doxem,3,2026-05-06 10:35:17,ig kena bug lagi notifikasi tidak bisa dibuka lagi,Sadness
Tania Azza,1,2026-05-06 10:33:45,"seru, bagus, asikk dll",Happy
ji Ja,4,2026-05-06 10:18:44,lumayan bagus dan nyaman,Happy
Bertolens Tabun,5,2026-05-06 10:13:36,suka banget,Love
Faqih Ganteng ygy,1,2026-05-06 10:00:16,"apaan dh gjls bekas chtn tbtb ilang, pap cwe ku jg ikt an ilang jing mana blm aku sv lg foto nya hdh",Fear
PTNI Official,5,2026-05-06 09:57:08,tempat berbagi informasi untuk followers,Happy
Reren Renn,5,2026-05-06 09:55:35,bagus banget loh ini,Love
kayla Davina,5,2026-05-06 09:53:38,"saya suka, tp kalo kebanyakn post ft dia ngelag bgt. perbaiki plis",Fear
INNA KAMARIE,5,2026-05-06 09:53:26,seruuuu,Happy
Yongki Pratama,5,2026-05-06 09:43:29,terbaik,Happy
Alvinaje Alvinaje,5,2026-05-06 09:38:50,smoga sukses slalu untuk instgram,Happy
Nur Hadi,5,2026-05-06 09:37:26,baik,Happy
Ema Melati,5,2026-05-06 09:27:43,apk yg menarik,Happy
